delay,pi_A,pi_O,w_A,w_O,avg_block_interval
1500,0.51315,0.48685,0.999961,0.0263736,14378
1666,0.51778,0.48222,0.999961,0.0307329,14332.5
1875,0.51614,0.48386,0.999903,0.0340801,14324.7
2142,0.51899,0.48101,0.999961,0.0392507,14285.1
2500,0.52476,0.47524,0.999943,0.0461451,14224.4
3000,0.52568,0.47432,0.999886,0.0546888,14154
3750,0.53606,0.46394,0.999925,0.0709143,13996.4
5000,0.54834,0.45166,0.999964,0.0997875,13700.8
7500,0.57903,0.42097,0.99981,0.15937,12919.7
15000,0.69193,0.30807,0.999928,0.384426,11184.8
22500,0.80067,0.19933,0.999913,0.599258,10000.4
30000,0.88075,0.11925,0.999909,0.764361,9361.78
37500,0.92867,0.07133,1,0.850414,8970.54
45000,0.95907,0.04093,1,0.918886,8584.33
52500,0.97755,0.02245,1,0.952339,8247.17
60000,0.98735,0.01265,0.99999,0.974704,7968.75
delay,pi_A,pi_O,w_A,w_O,avg_block_interval
67500,0.99299,0.00701,0.99999,0.990014,7774.02
75000,0.9961,0.0039,1,0.984615,7628.46
82500,0.99789,0.00211,1,0.995261,7486.79
90000,0.99871,0.00129,1,1,7460.92
97500,0.99924,0.00076,1,0.986842,7410.47
105000,0.99959,0.00041,1,1,7357.52
112500,0.99966,0.00034,1,1,7336.47
120000,0.99984,0.00016,1,1,7318.01
127500,0.99986,0.00014,1,0.928571,7291.4
135000,0.99995,5e-05,1,1,7285.9
142500,0.99993,7e-05,1,1,7295.27
150000,0.99997,3e-05,1,1,7291.52
